,chapter,comments,date
766,767,62,03/30/2017
767,768,65,04/01/2017
768,769,68,04/03/2017
769,770,38,04/05/2017
770,771,62,04/08/2017
771,772,36,04/08/2017
772,773,66,04/09/2017
773,774,102,04/11/2017
774,775,82,04/13/2017
775,776,67,04/15/2017
776,777,80,04/16/2017
777,778,59,04/18/2017
778,779,71,04/20/2017
779,780,71,04/23/2017
780,781,93,04/23/2017
781,782,50,04/25/2017
782,783,35,04/26/2017
783,784,62,04/27/2017
784,785,40,04/28/2017
785,786,97,04/29/2017
786,787,57,05/02/2017
787,788,57,05/03/2017
788,789,62,05/04/2017
789,790,69,05/05/2017
790,791,99,05/06/2017
791,792,83,05/07/2017
792,793,77,05/08/2017
793,794,73,05/09/2017
794,795,90,05/10/2017
795,796,83,05/11/2017
796,797,64,05/13/2017
797,798,60,05/14/2017
798,799,46,05/15/2017
799,800,73,05/16/2017
800,801,81,05/17/2017
801,802,81,05/18/2017
802,803,80,05/19/2017
803,804,58,05/20/2017
805,806,83,05/21/2017
806,807,97,05/21/2017
807,808,103,05/23/2017
808,809,148,05/23/2017
809,810,178,05/24/2017
810,811,124,05/26/2017
811,812,87,05/28/2017
812,813,62,05/28/2017
813,814,92,05/29/2017
814,815,120,05/31/2017
815,816,54,05/31/2017
816,817,83,05/31/2017
817,818,51,05/31/2017
818,819,85,06/03/2017
819,820,33,06/04/2017
820,821,42,06/04/2017
821,822,49,06/07/2017
822,823,25,06/07/2017
823,824,32,06/07/2017
824,825,59,06/07/2017
825,826,58,06/13/2017
826,827,24,06/13/2017
827,828,13,06/13/2017
828,829,74,06/13/2017
829,830,82,06/13/2017
830,831,37,06/13/2017
831,832,76,06/13/2017
832,833,181,06/13/2017
833,834,20,06/13/2017
834,835,41,06/13/2017
836,837,24,06/25/2017
837,838,30,06/25/2017
838,839,86,06/25/2017
839,840,37,06/25/2017
840,841,25,07/20/2017
841,842,33,07/20/2017
842,843,38,07/20/2017
843,844,35,07/20/2017
844,845,29,07/20/2017
845,846,17,07/20/2017
846,847,30,07/20/2017
847,848,15,07/20/2017
848,849,97,07/20/2017
849,850,33,07/20/2017
850,851,53,07/20/2017
851,852,96,07/20/2017
852,853,82,07/20/2017
853,854,36,07/20/2017
854,855,22,07/20/2017
855,856,21,07/20/2017
856,857,30,07/20/2017
857,858,62,07/20/2017
858,859,44,07/20/2017
859,860,27,07/20/2017
860,861,50,07/20/2017
861,862,66,07/20/2017
862,863,30,07/20/2017
863,864,36,07/20/2017
864,865,38,07/20/2017
865,866,71,07/20/2017
866,867,28,07/20/2017
867,868,45,07/20/2017
868,869,59,07/20/2017
869,870,52,08/03/2017
870,871,28,08/04/2017
871,872,29,08/04/2017
872,873,38,08/04/2017
873,874,41,08/04/2017
874,875,34,08/05/2017
875,876,40,08/05/2017
876,877,29,08/05/2017
877,878,23,08/05/2017
878,879,55,08/05/2017
879,880,90,08/06/2017
880,881,20,08/06/2017
881,882,21,08/07/2017
882,883,39,08/07/2017
883,884,69,08/07/2017
884,885,106,08/07/2017
885,886,99,08/07/2017
886,887,75,08/09/2017
887,888,102,08/09/2017
888,889,83,08/09/2017
889,890,52,08/09/2017
890,891,21,08/14/2017
891,892,28,08/14/2017
893,894,59,08/15/2017
894,895,77,08/17/2017
895,896,53,08/17/2017
896,897,36,08/19/2017
897,898,128,08/19/2017
898,899,87,08/20/2017
899,900,45,08/22/2017
900,901,44,08/22/2017
